customerID,tenure,TenureBand,Contract,PaymentMethod,MonthlyCharges,ServiceCount,TechSupport,OnlineSecurity,InternetService,ChurnProbability,RiskLevel,ObservedRiskFactors
9497-QCMMS,1,0-12 months,Month-to-month,Electronic check,93.55,4,No,No,Fiber optic,0.9529061498112179,High,Month-to-month contract; Short customer tenure; No technical support
4826-XTSOH,1,0-12 months,Month-to-month,Electronic check,86.05,3,No,No,Fiber optic,0.936990899132576,High,Month-to-month contract; Short customer tenure; No technical support
2446-BEGGB,6,0-12 months,Month-to-month,Electronic check,98.25,5,No,No,Fiber optic,0.9368148064239576,High,Month-to-month contract; Short customer tenure; No technical support
0781-LKXBR,9,0-12 months,Month-to-month,Electronic check,100.5,5,No,No,Fiber optic,0.9367408621896524,High,Month-to-month contract; Short customer tenure; No technical support
5192-EBGOV,1,0-12 months,Month-to-month,Electronic check,85.7,3,No,No,Fiber optic,0.9358197959566352,High,Month-to-month contract; Short customer tenure; No technical support
2012-NWRPA,11,0-12 months,Month-to-month,Electronic check,99.55,5,No,No,Fiber optic,0.9357386118479165,High,Month-to-month contract; Short customer tenure; No technical support
9681-OXGVC,5,0-12 months,Month-to-month,Electronic check,100.5,5,No,No,Fiber optic,0.9351647361360323,High,Month-to-month contract; Short customer tenure; No technical support
2660-EMUBI,10,0-12 months,Month-to-month,Electronic check,95.35,4,No,No,Fiber optic,0.9345734643070525,High,Month-to-month contract; Short customer tenure; No technical support
6630-UJZMY,4,0-12 months,Month-to-month,Electronic check,83.25,3,No,No,Fiber optic,0.9343701431249576,High,Month-to-month contract; Short customer tenure; No technical support
3988-RQIXO,1,0-12 months,Month-to-month,Electronic check,91.3,3,No,No,Fiber optic,0.934320347016786,High,Month-to-month contract; Short customer tenure; No technical support
5277-ZLOOR,2,0-12 months,Month-to-month,Electronic check,85.55,3,No,No,Fiber optic,0.9340056412562994,High,Month-to-month contract; Short customer tenure; No technical support
6521-YYTYI,1,0-12 months,Month-to-month,Electronic check,93.3,4,No,No,Fiber optic,0.933781002865868,High,Month-to-month contract; Short customer tenure; No technical support
4626-GYCZP,7,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,0.9331847520495663,High,Month-to-month contract; Short customer tenure; No technical support
8161-QYMTT,7,0-12 months,Month-to-month,Electronic check,94.1,4,No,No,Fiber optic,0.9331727899110888,High,Month-to-month contract; Short customer tenure; No technical support
1273-MTETI,4,0-12 months,Month-to-month,Electronic check,88.85,4,No,No,Fiber optic,0.9331233480077723,High,Month-to-month contract; Short customer tenure; No technical support
4750-ZRXIU,4,0-12 months,Month-to-month,Electronic check,84.6,3,No,No,Fiber optic,0.9322455671494088,High,Month-to-month contract; Short customer tenure; No technical support
7450-NWRTR,12,0-12 months,Month-to-month,Electronic check,99.45,5,No,No,Fiber optic,0.9319627714302631,High,Month-to-month contract; Short customer tenure; No technical support
0107-YHINA,1,0-12 months,Month-to-month,Electronic check,99.75,5,No,No,Fiber optic,0.9315263299456943,High,Month-to-month contract; Short customer tenure; No technical support
2865-TCHJW,4,0-12 months,Month-to-month,Electronic check,89.2,4,No,No,Fiber optic,0.9312652048860526,High,Month-to-month contract; Short customer tenure; No technical support
2656-TABEH,4,0-12 months,Month-to-month,Electronic check,100.2,5,No,No,Fiber optic,0.9303760028320287,High,Month-to-month contract; Short customer tenure; No technical support
6350-XFYGW,4,0-12 months,Month-to-month,Electronic check,94.75,4,No,No,Fiber optic,0.9301202901467023,High,Month-to-month contract; Short customer tenure; No technical support
9305-CDSKC,8,0-12 months,Month-to-month,Electronic check,99.65,5,No,No,Fiber optic,0.9301185715987557,High,Month-to-month contract; Short customer tenure; No technical support
0196-VULGZ,6,0-12 months,Month-to-month,Electronic check,84.35,3,No,No,Fiber optic,0.9296372593431954,High,Month-to-month contract; Short customer tenure; No technical support
3389-YGYAI,8,0-12 months,Month-to-month,Electronic check,105.5,6,No,No,Fiber optic,0.9296324998680091,High,Month-to-month contract; Short customer tenure; No technical support
1455-UGQVH,10,0-12 months,Month-to-month,Electronic check,98.5,5,No,No,Fiber optic,0.9293400839550835,High,Month-to-month contract; Short customer tenure; No technical support
3722-WPXTK,1,0-12 months,Month-to-month,Electronic check,88.35,3,No,No,Fiber optic,0.9283620281565389,High,Month-to-month contract; Short customer tenure; No technical support
8775-LHDJH,1,0-12 months,Month-to-month,Electronic check,90.6,4,No,No,Fiber optic,0.9283445184194279,High,Month-to-month contract; Short customer tenure; No technical support
1724-BQUHA,5,0-12 months,Month-to-month,Electronic check,89.5,3,No,No,Fiber optic,0.9283098901315328,High,Month-to-month contract; Short customer tenure; No technical support
9282-IZGQK,1,0-12 months,Month-to-month,Electronic check,85.0,3,No,No,Fiber optic,0.9279447318612843,High,Month-to-month contract; Short customer tenure; No technical support
7943-RQCHR,9,0-12 months,Month-to-month,Electronic check,94.75,4,No,No,Fiber optic,0.9278613072109171,High,Month-to-month contract; Short customer tenure; No technical support
8972-HJWNV,7,0-12 months,Month-to-month,Electronic check,84.55,3,No,No,Fiber optic,0.9275231125032033,High,Month-to-month contract; Short customer tenure; No technical support
3489-HHPFY,2,0-12 months,Month-to-month,Electronic check,84.05,3,No,No,Fiber optic,0.9274025103127417,High,Month-to-month contract; Short customer tenure; No technical support
4912-PIGUY,1,0-12 months,Month-to-month,Electronic check,84.6,3,No,No,Fiber optic,0.9272444135933837,High,Month-to-month contract; Short customer tenure; No technical support
1455-ESIQH,1,0-12 months,Month-to-month,Electronic check,89.1,3,No,No,Fiber optic,0.9272382161772726,High,Month-to-month contract; Short customer tenure; No technical support
7577-SWIFR,1,0-12 months,Month-to-month,Electronic check,89.25,3,No,No,Fiber optic,0.9270115126990793,High,Month-to-month contract; Short customer tenure; No technical support
2725-KXXWT,1,0-12 months,Month-to-month,Electronic check,90.75,3,No,No,Fiber optic,0.9266005422387285,High,Month-to-month contract; Short customer tenure; No technical support
0970-ETWGE,1,0-12 months,Month-to-month,Electronic check,89.55,3,No,No,Fiber optic,0.9265561525274835,High,Month-to-month contract; Short customer tenure; No technical support
0564-JJHGS,9,0-12 months,Month-to-month,Electronic check,95.5,4,No,No,Fiber optic,0.9263846647760065,High,Month-to-month contract; Short customer tenure; No technical support
2982-VPSGI,11,0-12 months,Month-to-month,Electronic check,94.0,4,No,No,Fiber optic,0.9262910461042277,High,Month-to-month contract; Short customer tenure; No technical support
4847-TAJYI,6,0-12 months,Month-to-month,Electronic check,89.35,3,No,No,Fiber optic,0.9262345227991384,High,Month-to-month contract; Short customer tenure; No technical support
3027-ZTDHO,1,0-12 months,Month-to-month,Electronic check,89.9,3,No,No,Fiber optic,0.9260215938018452,High,Month-to-month contract; Short customer tenure; No technical support
0187-QSXOE,7,0-12 months,Month-to-month,Electronic check,89.0,3,No,No,Fiber optic,0.9260211946749326,High,Month-to-month contract; Short customer tenure; No technical support
3319-DWOEP,6,0-12 months,Month-to-month,Electronic check,95.75,4,No,No,Fiber optic,0.9257326499075365,High,Month-to-month contract; Short customer tenure; No technical support
9134-CEQMF,7,0-12 months,Month-to-month,Electronic check,89.5,3,No,No,Fiber optic,0.9256540711637816,High,Month-to-month contract; Short customer tenure; No technical support
8603-IJWDN,1,0-12 months,Month-to-month,Electronic check,86.6,3,No,No,Fiber optic,0.9255146902849075,High,Month-to-month contract; Short customer tenure; No technical support
5383-MMTWC,8,0-12 months,Month-to-month,Electronic check,84.0,3,No,No,Fiber optic,0.9253429902291371,High,Month-to-month contract; Short customer tenure; No technical support
8414-MYSHR,5,0-12 months,Month-to-month,Electronic check,91.4,3,No,No,Fiber optic,0.9252592428248089,High,Month-to-month contract; Short customer tenure; No technical support
0897-FEGMU,11,0-12 months,Month-to-month,Electronic check,99.5,5,No,No,Fiber optic,0.9251278912313413,High,Month-to-month contract; Short customer tenure; No technical support
4587-VVTOX,6,0-12 months,Month-to-month,Electronic check,105.3,6,No,No,Fiber optic,0.9250838657927356,High,Month-to-month contract; Short customer tenure; No technical support
7274-RTAPZ,1,0-12 months,Month-to-month,Electronic check,90.55,3,No,No,Fiber optic,0.9250193349075098,High,Month-to-month contract; Short customer tenure; No technical support
4145-UQXUQ,8,0-12 months,Month-to-month,Electronic check,92.1,4,No,No,Fiber optic,0.9246379911909316,High,Month-to-month contract; Short customer tenure; No technical support
1143-NMNQJ,2,0-12 months,Month-to-month,Electronic check,85.7,3,No,No,Fiber optic,0.924508440350268,High,Month-to-month contract; Short customer tenure; No technical support
2968-SSGAA,10,0-12 months,Month-to-month,Electronic check,100.6,5,No,No,Fiber optic,0.924408114244399,High,Month-to-month contract; Short customer tenure; No technical support
0021-IKXGC,1,0-12 months,Month-to-month,Electronic check,72.1,2,No,No,Fiber optic,0.9241474140533212,High,Month-to-month contract; Short customer tenure; No technical support
6474-FVJLC,2,0-12 months,Month-to-month,Electronic check,86.0,3,No,No,Fiber optic,0.9240118080519468,High,Month-to-month contract; Short customer tenure; No technical support
6513-EECDB,1,0-12 months,Month-to-month,Electronic check,73.55,2,No,No,Fiber optic,0.9238004130805293,High,Month-to-month contract; Short customer tenure; No technical support
4115-NZRKS,7,0-12 months,Month-to-month,Electronic check,89.15,3,No,No,Fiber optic,0.9236982170190982,High,Month-to-month contract; Short customer tenure; No technical support
4927-WWOOZ,2,0-12 months,Month-to-month,Electronic check,91.45,4,No,No,Fiber optic,0.9236343038816476,High,Month-to-month contract; Short customer tenure; No technical support
2205-YMZZJ,7,0-12 months,Month-to-month,Electronic check,84.8,3,No,No,Fiber optic,0.9233333607821792,High,Month-to-month contract; Short customer tenure; No technical support
0259-GBZSH,2,0-12 months,Month-to-month,Electronic check,85.65,3,No,No,Fiber optic,0.9232930527868862,High,Month-to-month contract; Short customer tenure; No technical support
2034-GDRCN,2,0-12 months,Month-to-month,Electronic check,90.4,3,No,No,Fiber optic,0.9227834585380046,High,Month-to-month contract; Short customer tenure; No technical support
8593-WHYHV,3,0-12 months,Month-to-month,Electronic check,85.3,3,No,No,Fiber optic,0.9227621848701751,High,Month-to-month contract; Short customer tenure; No technical support
4102-OQUPX,1,0-12 months,Month-to-month,Electronic check,74.4,2,No,No,Fiber optic,0.9224511398861723,High,Month-to-month contract; Short customer tenure; No technical support
0723-DRCLG,1,0-12 months,Month-to-month,Electronic check,74.45,2,No,No,Fiber optic,0.9223710931471082,High,Month-to-month contract; Short customer tenure; No technical support
3811-VBYBZ,7,0-12 months,Month-to-month,Electronic check,99.8,5,No,No,Fiber optic,0.9220196435186268,High,Month-to-month contract; Short customer tenure; No technical support
0754-UKWQP,2,0-12 months,Month-to-month,Electronic check,95.85,4,No,No,Fiber optic,0.9219567461196403,High,Month-to-month contract; Short customer tenure; No technical support
9546-CQJSU,2,0-12 months,Month-to-month,Electronic check,91.4,4,No,No,Fiber optic,0.9218849276470372,High,Month-to-month contract; Short customer tenure; No technical support
9611-CTWIH,3,0-12 months,Month-to-month,Electronic check,89.45,3,No,No,Fiber optic,0.921759231797249,High,Month-to-month contract; Short customer tenure; No technical support
9965-YOKZB,9,0-12 months,Month-to-month,Electronic check,83.85,3,No,No,Fiber optic,0.9217336185739483,High,Month-to-month contract; Short customer tenure; No technical support
8473-VUVJN,1,0-12 months,Month-to-month,Electronic check,73.65,2,No,No,Fiber optic,0.9216809030981219,High,Month-to-month contract; Short customer tenure; No technical support
4078-SAYYN,11,0-12 months,Month-to-month,Electronic check,100.75,5,No,No,Fiber optic,0.9216223981194382,High,Month-to-month contract; Short customer tenure; No technical support
3902-FOIGH,12,0-12 months,Month-to-month,Electronic check,101.35,5,No,No,Fiber optic,0.921226567845566,High,Month-to-month contract; Short customer tenure; No technical support
7228-OMTPN,4,0-12 months,Month-to-month,Electronic check,88.45,3,No,No,Fiber optic,0.9211524792073148,High,Month-to-month contract; Short customer tenure; No technical support
5519-NPHVG,12,0-12 months,Month-to-month,Electronic check,94.2,4,No,No,Fiber optic,0.9209112956249063,High,Month-to-month contract; Short customer tenure; No technical support
1833-VGRUM,1,0-12 months,Month-to-month,Electronic check,74.2,2,No,No,Fiber optic,0.9207881855877994,High,Month-to-month contract; Short customer tenure; No technical support
8058-JMEQO,9,0-12 months,Month-to-month,Electronic check,84.45,3,No,No,Fiber optic,0.9205896467835564,High,Month-to-month contract; Short customer tenure; No technical support
3551-HUAZH,1,0-12 months,Month-to-month,Electronic check,74.4,2,No,No,Fiber optic,0.9204612614704821,High,Month-to-month contract; Short customer tenure; No technical support
5240-IJOQT,1,0-12 months,Month-to-month,Electronic check,74.7,2,No,No,Fiber optic,0.9199685636727187,High,Month-to-month contract; Short customer tenure; No technical support
1624-NALOJ,5,0-12 months,Month-to-month,Electronic check,89.8,4,No,No,Fiber optic,0.9197574414316655,High,Month-to-month contract; Short customer tenure; No technical support
0697-ZMSWS,4,0-12 months,Month-to-month,Electronic check,85.65,3,No,No,Fiber optic,0.9196174134925206,High,Month-to-month contract; Short customer tenure; No technical support
8337-UPOAQ,10,0-12 months,Month-to-month,Electronic check,89.8,4,No,No,Fiber optic,0.9196124829503889,High,Month-to-month contract; Short customer tenure; No technical support
2642-DTVCO,9,0-12 months,Month-to-month,Electronic check,85.05,3,No,No,Fiber optic,0.9195015963963967,High,Month-to-month contract; Short customer tenure; No technical support
3727-RJMEO,6,0-12 months,Month-to-month,Electronic check,82.85,3,No,No,Fiber optic,0.9194577126362873,High,Month-to-month contract; Short customer tenure; No technical support
6108-OQZDQ,4,0-12 months,Month-to-month,Electronic check,97.95,5,No,No,Fiber optic,0.9192782672541618,High,Month-to-month contract; Short customer tenure; No technical support
7398-SKNQZ,3,0-12 months,Month-to-month,Electronic check,94.9,4,No,No,Fiber optic,0.9191830411309637,High,Month-to-month contract; Short customer tenure; No technical support
1304-NECVQ,2,0-12 months,Month-to-month,Electronic check,78.55,3,No,No,Fiber optic,0.9189719711827243,High,Month-to-month contract; Short customer tenure; No technical support
4192-GORJT,5,0-12 months,Month-to-month,Electronic check,94.45,4,No,No,Fiber optic,0.9189536722825487,High,Month-to-month contract; Short customer tenure; No technical support
4988-IQIGL,1,0-12 months,Month-to-month,Electronic check,75.35,2,No,No,Fiber optic,0.9188914811609525,High,Month-to-month contract; Short customer tenure; No technical support
8580-AECUZ,1,0-12 months,Month-to-month,Electronic check,79.1,2,No,No,Fiber optic,0.9186907775501405,High,Month-to-month contract; Short customer tenure; No technical support
6567-HOOPW,1,0-12 months,Month-to-month,Electronic check,79.2,2,No,No,Fiber optic,0.9185235277649095,High,Month-to-month contract; Short customer tenure; No technical support
7526-BEZQB,12,0-12 months,Month-to-month,Electronic check,96.05,4,No,No,Fiber optic,0.9184652196888187,High,Month-to-month contract; Short customer tenure; No technical support
6230-BSUXY,1,0-12 months,Month-to-month,Electronic check,85.0,3,No,No,Fiber optic,0.9183748857211863,High,Month-to-month contract; Short customer tenure; No technical support
8739-XNIKG,5,0-12 months,Month-to-month,Electronic check,84.0,3,No,No,Fiber optic,0.9183649316423266,High,Month-to-month contract; Short customer tenure; No technical support
6894-LFHLY,1,0-12 months,Month-to-month,Electronic check,75.75,2,No,No,Fiber optic,0.9182221080521347,High,Month-to-month contract; Short customer tenure; No technical support
6969-MVBAI,9,0-12 months,Month-to-month,Electronic check,90.1,4,No,No,Fiber optic,0.9181160585306928,High,Month-to-month contract; Short customer tenure; No technical support
7488-MXJIV,4,0-12 months,Month-to-month,Electronic check,85.65,3,No,No,Fiber optic,0.9180665023767643,High,Month-to-month contract; Short customer tenure; No technical support
3318-NMQXL,3,0-12 months,Month-to-month,Electronic check,92.0,3,No,No,Fiber optic,0.9176936724286292,High,Month-to-month contract; Short customer tenure; No technical support
2265-CYWIV,4,0-12 months,Month-to-month,Electronic check,99.6,5,No,Yes,Fiber optic,0.9170562560683714,High,Month-to-month contract; Short customer tenure; No technical support
9248-OJYKK,1,0-12 months,Month-to-month,Electronic check,76.45,2,No,No,Fiber optic,0.9170385874449765,High,Month-to-month contract; Short customer tenure; No technical support
4713-LZDRV,2,0-12 months,Month-to-month,Electronic check,79.6,2,No,No,Fiber optic,0.9168904385369192,High,Month-to-month contract; Short customer tenure; No technical support
1875-QIVME,2,0-12 months,Month-to-month,Electronic check,104.4,6,Yes,No,Fiber optic,0.916743658008062,High,Month-to-month contract; Short customer tenure; No online security
4548-SDBKE,5,0-12 months,Month-to-month,Electronic check,85.2,3,No,No,Fiber optic,0.9166382755844329,High,Month-to-month contract; Short customer tenure; No technical support
7779-LGOVN,10,0-12 months,Month-to-month,Electronic check,86.65,3,No,No,Fiber optic,0.9164205492142844,High,Month-to-month contract; Short customer tenure; No technical support
3643-AHCFP,7,0-12 months,Month-to-month,Bank transfer (automatic),95.6,4,No,No,Fiber optic,0.9156055657486555,High,Month-to-month contract; Short customer tenure; No technical support
2990-HWIML,6,0-12 months,Month-to-month,Electronic check,89.5,3,No,No,Fiber optic,0.9143622009128589,High,Month-to-month contract; Short customer tenure; No technical support
7234-FECYN,8,0-12 months,Month-to-month,Electronic check,101.35,5,No,No,Fiber optic,0.9137700307442933,High,Month-to-month contract; Short customer tenure; No technical support
4086-YQSNZ,3,0-12 months,Month-to-month,Electronic check,80.4,2,No,No,Fiber optic,0.913077355663136,High,Month-to-month contract; Short customer tenure; No technical support
5380-AFSSK,5,0-12 months,Month-to-month,Mailed check,93.9,4,No,No,Fiber optic,0.9129881850361615,High,Month-to-month contract; Short customer tenure; No technical support
8382-SHQEH,8,0-12 months,Month-to-month,Electronic check,84.9,3,No,No,Fiber optic,0.9129609027749882,High,Month-to-month contract; Short customer tenure; No technical support
1941-HOSAM,1,0-12 months,Month-to-month,Electronic check,90.1,3,No,No,Fiber optic,0.9123503872447978,High,Month-to-month contract; Short customer tenure; No technical support
7576-OYWBN,3,0-12 months,Month-to-month,Electronic check,76.05,2,No,No,Fiber optic,0.912249529468244,High,Month-to-month contract; Short customer tenure; No technical support
1197-BVMVG,4,0-12 months,Month-to-month,Electronic check,74.45,2,No,No,Fiber optic,0.912210599104223,High,Month-to-month contract; Short customer tenure; No technical support
2462-XIIJB,5,0-12 months,Month-to-month,Electronic check,92.5,4,No,No,Fiber optic,0.9121508802523541,High,Month-to-month contract; Short customer tenure; No technical support
6161-UUUTA,3,0-12 months,Month-to-month,Electronic check,79.9,2,No,No,Fiber optic,0.9120216502283863,High,Month-to-month contract; Short customer tenure; No technical support
0722-TROQR,4,0-12 months,Month-to-month,Electronic check,74.9,2,No,No,Fiber optic,0.9115798616323253,High,Month-to-month contract; Short customer tenure; No technical support
5956-VKDTT,5,0-12 months,Month-to-month,Electronic check,74.35,2,No,No,Fiber optic,0.9115268413363716,High,Month-to-month contract; Short customer tenure; No technical support
4273-MBHYA,1,0-12 months,Month-to-month,Electronic check,89.35,3,No,No,Fiber optic,0.9114894531654187,High,Month-to-month contract; Short customer tenure; No technical support
4951-UKAAQ,4,0-12 months,Month-to-month,Electronic check,88.95,4,No,No,Fiber optic,0.9111965507775927,High,Month-to-month contract; Short customer tenure; No technical support
9231-ZJYAM,4,0-12 months,Month-to-month,Electronic check,78.85,2,No,No,Fiber optic,0.9107803993913798,High,Month-to-month contract; Short customer tenure; No technical support
2672-HUYVI,6,0-12 months,Month-to-month,Electronic check,91.1,3,No,No,Fiber optic,0.9107186051602,High,Month-to-month contract; Short customer tenure; No technical support
1925-TIBLE,7,0-12 months,Month-to-month,Electronic check,86.5,3,No,No,Fiber optic,0.9106471167308807,High,Month-to-month contract; Short customer tenure; No technical support
6688-UZPWD,11,0-12 months,Month-to-month,Electronic check,102.0,5,No,No,Fiber optic,0.9105893590913554,High,Month-to-month contract; Short customer tenure; No technical support
8258-GSTJK,3,0-12 months,Month-to-month,Electronic check,77.0,2,No,No,Fiber optic,0.9105670372175878,High,Month-to-month contract; Short customer tenure; No technical support
8931-GJJIQ,9,0-12 months,Month-to-month,Electronic check,83.3,3,No,No,Fiber optic,0.9105483609088338,High,Month-to-month contract; Short customer tenure; No technical support
0702-PGIBZ,4,0-12 months,Month-to-month,Electronic check,101.7,5,No,No,Fiber optic,0.9104584622365599,High,Month-to-month contract; Short customer tenure; No technical support
1579-KLYDT,7,0-12 months,Month-to-month,Electronic check,90.45,4,No,No,Fiber optic,0.9100845372597783,High,Month-to-month contract; Short customer tenure; No technical support
8357-EQXFO,7,0-12 months,Month-to-month,Electronic check,95.35,4,No,No,Fiber optic,0.9097666634829074,High,Month-to-month contract; Short customer tenure; No technical support
5299-SJCZT,3,0-12 months,Month-to-month,Bank transfer (automatic),101.55,5,No,No,Fiber optic,0.9096956260380276,High,Month-to-month contract; Short customer tenure; No technical support
9451-LPGOO,7,0-12 months,Month-to-month,Electronic check,86.8,3,No,No,Fiber optic,0.9096878055212848,High,Month-to-month contract; Short customer tenure; No technical support
9944-HKVVB,3,0-12 months,Month-to-month,Electronic check,95.1,4,No,No,Fiber optic,0.9096265845224276,High,Month-to-month contract; Short customer tenure; No technical support
4228-ZGYUW,4,0-12 months,Month-to-month,Electronic check,90.05,4,No,No,Fiber optic,0.9092656022223496,High,Month-to-month contract; Short customer tenure; No technical support
9725-SCPZG,1,0-12 months,Month-to-month,Electronic check,90.85,3,No,No,Fiber optic,0.9087448197247268,High,Month-to-month contract; Short customer tenure; No technical support
0325-XBFAC,8,0-12 months,Month-to-month,Electronic check,94.7,4,No,No,Fiber optic,0.908075169952594,High,Month-to-month contract; Short customer tenure; No technical support
3097-NQYSN,2,0-12 months,Month-to-month,Mailed check,86.85,3,No,No,Fiber optic,0.908037285965251,High,Month-to-month contract; Short customer tenure; No technical support
4140-MUHUG,3,0-12 months,Month-to-month,Electronic check,86.85,3,No,No,Fiber optic,0.9078464592465811,High,Month-to-month contract; Short customer tenure; No technical support
4415-IJZTP,1,0-12 months,Month-to-month,Electronic check,74.5,2,No,No,Fiber optic,0.9078089694829905,High,Month-to-month contract; Short customer tenure; No technical support
4929-XIHVW,2,0-12 months,Month-to-month,Credit card (automatic),95.5,4,No,No,Fiber optic,0.9075791859893569,High,Month-to-month contract; Short customer tenure; No technical support
3178-FESZO,1,0-12 months,Month-to-month,Credit card (automatic),100.25,5,No,No,Fiber optic,0.9075548114316907,High,Month-to-month contract; Short customer tenure; No technical support
3387-VATUS,5,0-12 months,Month-to-month,Bank transfer (automatic),94.85,4,No,No,Fiber optic,0.907407312199224,High,Month-to-month contract; Short customer tenure; No technical support
2868-MZAGQ,1,0-12 months,Month-to-month,Electronic check,79.25,2,No,No,Fiber optic,0.9073321483918391,High,Month-to-month contract; Short customer tenure; No technical support
6358-LYNGM,1,0-12 months,Month-to-month,Electronic check,74.9,2,No,No,Fiber optic,0.9070573855646905,High,Month-to-month contract; Short customer tenure; No technical support
1157-BQCUW,1,0-12 months,Month-to-month,Electronic check,74.95,2,No,No,Fiber optic,0.906963051831467,High,Month-to-month contract; Short customer tenure; No technical support
